(237, None, None, '1', '1', '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, '1', None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None)
(238, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, '1', '1', '1', None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, '1', None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None)
(239, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, '1', None, None, None, None, None, '1', None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, '0', None, None, None, '0', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None)
(242, '1', None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '0', '1', None, None, '0', None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None)
(245, None, None, None, None, None, None, '1', '1', '0', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, '0', None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '0', None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
(246, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, '1', None, None, '1', '1', None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '0', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None)
(247, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', '1', None, '1', None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', '1', None, None, None, None)
(248, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', '1', None, '1', '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, '1', '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, '1', None)
(249, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, '1', '1', None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None)
(253, None, None, '1', '1', None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None)
